"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";
"LF-UC-1";"BEAD 500mA";"L-M2012";"SMD-M2012";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";
"LF-UC-2";"BEAD 500mA";"L-M2012";"SMD-M2012";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";
"LF-UC-3";"BEAD 500mA";"L-M2012";"SMD-M2012";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";
"MOD-IMU-1";"WAVESHARE-IMU-10DOF";"WAVESHARE-IMU-10DOF";"WAVESHARE-IMU-10DOF";"WaveShare IMU 10DOF";"";"";"";"";"";"";"";"";"";
"MOD-LCD-1";"DISPLAY_16X2_90DEG";"DISPLAY_16X2_90DEG";"DISPLAY_16X2_90DEG";"Display 16X2";"";"";"";"";"";"";"";"";"";
"MOD-PWR";"2020-03-18-BUCK-N5-NHN5";"2020-03-18-BUCK-N5-NHN5";"2020-03-18-BUCK-NHN5";"2020-03-18 Buck Module";"";"";"";"";"";"";"";"";"";
"RD-485-1";"720";"R0207/2V";"TH-2MM54-V";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RD-IN-1";"1k";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RD-LCD-1";"1k";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RD-RPI-2";"10k";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RD-SRVO-1";"1K";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RD-SRVO-2";"10k";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RD-UC-1";"100k";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RS-485-1";"4X 1K";"RAC164";"RAC1206";"Resistor Array of four elements";"";"";"";"";"";"";"";"";"";
"RS-485-2";"10";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RS-485-3";"10";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RS-LCD-1";"4X 1K";"RAC164";"RAC1206";"Resistor Array of four elements";"";"";"";"";"";"";"";"";"";
"RS-LCD-2";"4X 1K";"RAC164";"RAC1206";"Resistor Array of four elements";"";"";"";"";"";"";"";"";"";
"RS-RPI-1";"4X 1K";"RAC164";"RAC1206";"Resistor Array of four elements";"";"";"";"";"";"";"";"";"";
"RS-SRVO-1";"1K";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RS-SRVO-2";"4X 1K";"RAC164";"RAC1206";"Resistor Array of four elements";"";"";"";"";"";"";"";"";"";
"RS-SRVO-3";"4X 1K";"RAC164";"RAC1206";"Resistor Array of four elements";"";"";"";"";"";"";"";"";"";
"RS-UC-1";"330";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RS-UC-2";"330";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RT-485-1";"120";"R0207/2V";"TH-2MM54-V";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RU-485-1";"720";"R0207/2V";"TH-2MM54-V";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RU-IN-1";"8.2k";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RU-LCD-1";"8.2k";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RU-LCD-2";"8.2k";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RU-RPI-2";"10k";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RU-SRVO-1";"100k";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RU-SRVO-2";"10k";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"RU-UC-1";"100k";"R-M2012";"SMD-M2012";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"TN-UC-1";"2N7002";"MOS-N-SOT23";"SOT23";"Standard NMOS";"";"";"";"";"";"";"";"";"";
"TP-LCD-1";"BSS84";"MOS-P-SOT23";"SOT23";"MOS-P";"";"";"";"";"";"";"";"";"";
"TP-SRVO-1";"4P03L11";"MOS-P-TO252";"TO252";"MOS-P";"";"";"";"";"";"";"";"";"";
